,検索ＮＯ,伝票ＮＯ,伝票日付,相手科目コード,相手科目名称,摘要,消費税コード,消費税率,借方金額,貸方金額,差引金額,税率区分
,170,,R04/08/29,1111,現金,現金売上,10,10.0,,28080,11791510,
,175,,R04/08/30,1111,現金,現金売上,10,10.0,,58190,,
,214,,R04/08/30,1122,売掛金,カード売上/VISA,10,10.0,,18350,,
,215,,R04/08/30,1122,売掛金,カード売上/JCB,10,10.0,,11300,11879350,
,178,,R04/08/31,1111,現金,現金売上,10,10.0,,57580,11936930,
,,,,,,※※月計※※,,,0,1582430,,
"5111 期首棚卸高",,,,,,,,,,,,
,219,,R04/08/31,5311,期末棚卸高,棚振替,40,,145040,,145040,
,,,,,,※※月計※※,,,145040,0,,
"5211 商品仕入高",,,,,,前月より繰越,,,,,3362429,
,92,,R04/08/01,1111,現金,豊島水産　仕入,10,8.0,5573,,,#
,93,,R04/08/01,1111,現金,フジグラン　仕入,10,8.0,2854,,,#
,94,,R04/08/01,1111,現金,"7/31 フジグラン　仕入",10,8.0,489,,,#
,95,,R04/08/01,1111,現金,"7/30 フジグラン　仕入",10,8.0,427,,,#
,96,,R04/08/01,1111,現金,三越　仕入,10,8.0,216,,,#
,100,,R04/08/01,1111,現金,ダイソー　仕入,10,8.0,648,,3372636,#
,103,,R04/08/02,1111,現金,フジグラン　仕入,10,8.0,1086,,3373722,#
,108,,R04/08/05,1111,現金,豊島水産　仕入,10,8.0,18114,,,#
,109,,R04/08/05,1111,現金,フジグラン　仕入,10,8.0,1542,,3393378,#
,116,,R04/08/08,1111,現金,豊島水産　仕入,10,8.0,13738,,,#
,117,,R04/08/08,1111,現金,フジグラン　仕入,10,8.0,1074,,,#
,118,,R04/08/08,1111,現金,セブンイレブン　仕入,10,8.0,159,,,#
,119,,R04/08/08,1111,現金,セブンイレブン　仕入,10,8.0,300,,,#
,120,,R04/08/08,1111,現金,フジグラン　仕入,10,8.0,269,,,#
,121,,R04/08/08,1111,現金,豊島水産　仕入,10,8.0,2350,,3411268,#
,124,,R04/08/10,1111,現金,豊島水産　仕入,10,8.0,8035,,,#
,125,,R04/08/10,1111,現金,フジグラン　仕入,10,8.0,593,,,#
,126,,R04/08/10,1111,現金,八百心　仕入,10,8.0,1607,,3421503,#
,128,,R04/08/11,1111,現金,フジグラン　仕入,10,8.0,2265,,,#
,129,,R04/08/11,1111,現金,リカーマウンテン　仕入,10,8.0,213,,3423981,#
,131,,R04/08/12,1111,現金,豊島水産　仕入,10,8.0,14882,,,#
,132,,R04/08/12,1111,現金,フジグラン　仕入,10,8.0,2433,,,#
,134,,R04/08/12,1111,現金,三越　仕入,10,8.0,324,,,#
,135,,R04/08/12,1111,現金,三越　仕入,10,8.0,216,,3441836,#
